case,completeTime,b0,b1,b2,b3,b4,b5,b6,b7,b8
34,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
34,775627,0,0,1,0,0,0,0,0,0
34,2251704,0,0,0,1,0,0,0,0,0
34,5741416,0,1,0,0,0,0,0,0,0
34,6810170,0,0,1,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
35,1683583,0,0,0,1,0,0,0,0,0
35,2163603,0,0,0,1,0,0,0,0,0
35,5376112,0,0,1,0,0,0,0,0,0
35,7458369,0,0,1,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
36,666954,0,0,0,1,0,0,0,0,0
36,1566365,0,1,0,0,0,0,0,0,0
36,1730569,0,0,0,1,0,0,0,0,0
36,3401666,0,1,0,0,0,0,0,0,0
36,3646966,0,0,1,0,0,0,0,0,0
36,7848441,0,1,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
37,518004,0,0,1,0,0,0,0,0,0
37,1209555,0,0,1,0,0,0,0,0,0
37,1259595,0,0,0,1,0,0,0,0,0
37,2964772,1,0,0,0,0,0,0,0,0
37,4770567,0,0,1,0,0,0,0,0,0
37,7176709,1,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
38,4239659,0,0,0,1,0,0,0,0,0
38,4398625,1,0,0,0,0,0,0,0,0
38,5534228,0,1,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
39,917337,0,0,1,0,0,0,0,0,0
39,1187653,0,0,1,0,0,0,0,0,0
39,5014020,0,0,0,1,0,0,0,0,0
39,5585093,0,1,0,0,0,0,0,0,0
39,6318168,0,1,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
40,1052398,1,0,0,0,0,0,0,0,0
40,2627438,1,0,0,0,0,0,0,0,0
40,5921426,0,1,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
41,3413818,0,0,0,1,0,0,0,0,0
41,3558727,1,0,0,0,0,0,0,0,0
41,5973584,0,0,0,1,0,0,0,0,0
41,7406804,0,0,1,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0
42,1523057,0,1,0,0,0,0,0,0,0
42,1836179,0,1,0,0,0,0,0,0,0
42,2550081,1,0,0,0,0,0,0,0,0
42,3230982,0,0,0,1,0,0,0,0,0
42,3732246,1,0,0,0,0,0,0,0,0
42,4490061,0,1,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0
43,645352,1,0,0,0,0,0,0,0,0
43,4411892,0,1,0,0,0,0,0,0,0
43,5594799,1,0,0,0,0,0,0,0,0
43,5759286,1,0,0,0,0,0,0,0,0
43,5891421,1,0,0,0,0,0,0,0,0
43,6368897,0,0,0,1,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
44,1860606,0,1,0,0,0,0,0,0,0
44,3262553,0,0,0,1,0,0,0,0,0
44,6379553,0,0,1,0,0,0,0,0,0
44,7189016,0,0,1,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0
45,448661,0,0,1,0,0,0,0,0,0
45,796470,0,0,0,1,0,0,0,0,0
45,3047672,0,0,0,1,0,0,0,0,0
45,3859511,1,0,0,0,0,0,0,0,0
45,6239009,0,0,1,0,0,0,0,0,0
45,7260836,0,0,0,1,0,0,0,0,0
45,7290163,1,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0
46,436965,1,0,0,0,0,0,0,0,0
46,472231,0,0,0,1,0,0,0,0,0
46,4559701,0,0,0,1,0,0,0,0,0
46,6780283,0,0,1,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0
47,1228191,0,1,0,0,0,0,0,0,0
47,1648359,1,0,0,0,0,0,0,0,0
47,2460957,0,0,0,1,0,0,0,0,0
47,2530472,1,0,0,0,0,0,0,0,0
47,4851535,0,0,1,0,0,0,0,0,0
47,5221829,1,0,0,0,0,0,0,0,0
47,5767496,0,0,0,1,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
48,2325763,0,0,0,1,0,0,0,0,0
48,6187404,0,1,0,0,0,0,0,0,0
48,7702264,0,1,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
49,434773,0,0,1,0,0,0,0,0,0
49,862106,0,1,0,0,0,0,0,0,0
49,1362539,1,0,0,0,0,0,0,0,0
49,3097963,1,0,0,0,0,0,0,0,0
49,4919316,1,0,0,0,0,0,0,0,0
49,7212052,1,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
50,94415,0,0,1,0,0,0,0,0,0
50,2911767,0,1,0,0,0,0,0,0,0
50,6696158,1,0,0,0,0,0,0,0,0
50,6875434,0,0,1,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0
51,1066830,0,1,0,0,0,0,0,0,0
51,1957568,1,0,0,0,0,0,0,0,0
51,3443241,0,0,0,1,0,0,0,0,0
51,3668291,0,0,1,0,0,0,0,0,0
51,3826950,1,0,0,0,0,0,0,0,0
51,4208612,0,1,0,0,0,0,0,0,0
51,5542645,0,0,0,1,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
52,2461863,0,0,1,0,0,0,0,0,0
52,3128756,0,0,0,1,0,0,0,0,0
52,3637706,0,1,0,0,0,0,0,0,0
52,4093251,0,1,0,0,0,0,0,0,0
52,5207080,1,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
53,1721696,0,1,0,0,0,0,0,0,0
53,5420363,1,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0
54,849018,0,0,1,0,0,0,0,0,0
54,1378094,1,0,0,0,0,0,0,0,0
54,2603939,1,0,0,0,0,0,0,0,0
54,6044213,1,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0
55,3370532,1,0,0,0,0,0,0,0,0
55,4833192,0,0,0,1,0,0,0,0,0
55,7029901,1,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
56,2614703,0,0,1,0,0,0,0,0,0
56,2693866,0,0,1,0,0,0,0,0,0
56,3334987,0,1,0,0,0,0,0,0,0
56,4287137,0,0,0,1,0,0,0,0,0
56,4834758,1,0,0,0,0,0,0,0,0
56,5487737,0,1,0,0,0,0,0,0,0
56,5879924,0,0,1,0,0,0,0,0,0
56,6066019,0,1,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
57,5288948,0,0,1,0,0,0,0,0,0
57,7112178,1,0,0,0,0,0,0,0,0
57,7602219,0,1,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
58,2358920,0,0,1,0,0,0,0,0,0
58,5097024,0,0,1,0,0,0,0,0,0
58,7892182,0,0,1,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0
59,1853746,0,1,0,0,0,0,0,0,0
59,2510111,1,0,0,0,0,0,0,0,0
59,4145995,0,0,1,0,0,0,0,0,0
59,5272311,0,0,0,1,0,0,0,0,0
59,7291525,1,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
60,525498,0,0,0,1,0,0,0,0,0
60,1877069,0,0,0,1,0,0,0,0,0
60,1986293,0,0,1,0,0,0,0,0,0
60,2388721,0,1,0,0,0,0,0,0,0
60,2609322,0,1,0,0,0,0,0,0,0
60,4157883,0,0,0,1,0,0,0,0,0
60,5872141,0,1,0,0,0,0,0,0,0
60,7489437,0,0,1,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
61,3279899,0,0,1,0,0,0,0,0,0
61,3674208,0,1,0,0,0,0,0,0,0
61,7472614,0,0,1,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
62,1108124,0,1,0,0,0,0,0,0,0
62,1771769,0,0,0,1,0,0,0,0,0
62,4419374,0,0,0,1,0,0,0,0,0
62,6916847,0,0,0,1,0,0,0,0,0
62,7840704,0,1,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0
63,733713,0,0,1,0,0,0,0,0,0
63,3963864,0,0,0,1,0,0,0,0,0
63,4144956,1,0,0,0,0,0,0,0,0
63,4560478,0,0,0,1,0,0,0,0,0
63,5169132,0,1,0,0,0,0,0,0,0
63,5702963,0,0,1,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
64,5893779,0,0,1,0,0,0,0,0,0
64,6460644,0,1,0,0,0,0,0,0,0
64,7101426,1,0,0,0,0,0,0,0,0
64,7313551,0,0,0,1,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0
65,925596,1,0,0,0,0,0,0,0,0
65,1087935,0,0,0,1,0,0,0,0,0
65,3568226,0,1,0,0,0,0,0,0,0
65,4058910,0,1,0,0,0,0,0,0,0
65,6779166,0,0,1,0,0,0,0,0,0
65,7365367,0,1,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
66,5557736,1,0,0,0,0,0,0,0,0
66,7666767,0,0,0,1,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0
67,210058,1,0,0,0,0,0,0,0,0
67,2160088,0,0,1,0,0,0,0,0,0
