case,event,completeTime
10,a4,2013-05-30 12:41:56
10,a1,2013-06-08 20:33:59
10,a3,2013-05-16 17:39:00
10,a9,2013-06-28 10:51:13
10,a4,2013-04-17 21:24:30
10,a6,2013-06-29 12:29:14
10,a4,2013-04-25 23:01:48
10,a9,2013-07-01 09:46:11
10,a4,2013-05-25 17:01:27
10,a9,2013-05-30 12:58:37
11,a3,2013-05-10 13:37:47
11,a2,2013-05-02 05:54:30
11,a3,2013-06-14 08:40:38
11,a7,2013-05-30 06:41:49
11,a5,2013-05-10 01:14:32
11,a9,2013-06-26 23:43:54
11,a6,2013-06-14 12:03:39
11,a1,2013-05-01 16:50:31
11,a4,2013-06-03 11:23:59
11,a9,2013-06-14 00:10:00
12,a8,2013-05-01 07:54:17
12,a7,2013-06-23 20:42:44
12,a3,2013-05-29 07:21:40
12,a7,2013-06-20 23:03:36
12,a1,2013-07-12 18:13:10
12,a3,2013-05-31 08:08:05
12,a4,2013-06-23 16:27:18
12,a6,2013-06-23 21:23:24
12,a3,2013-04-22 01:41:35
12,a1,2013-06-23 04:56:17
13,a3,2013-05-26 19:52:33
13,a7,2013-05-20 09:46:26
13,a3,2013-05-17 22:22:39
13,a1,2013-07-01 15:17:22
13,a2,2013-07-01 19:02:55
13,a1,2013-04-20 16:03:30
13,a1,2013-07-08 07:28:20
13,a5,2013-04-27 01:55:11
13,a3,2013-06-02 13:00:41
13,a3,2013-05-03 02:41:56
14,a5,2013-04-22 05:04:40
14,a8,2013-05-10 05:42:22
14,a6,2013-05-18 21:20:59
14,a3,2013-04-22 13:08:44
14,a1,2013-05-27 12:07:15
14,a1,2013-05-11 16:48:07
14,a8,2013-06-13 20:13:17
14,a5,2013-06-10 06:39:59
14,a7,2013-05-11 01:50:52
14,a5,2013-05-27 19:53:33
15,a2,2013-06-13 16:19:35
15,a7,2013-06-10 16:11:17
15,a2,2013-06-04 16:06:06
15,a7,2013-06-13 10:43:37
15,a7,2013-04-25 23:10:18
15,a6,2013-04-21 08:47:01
15,a7,2013-05-29 00:16:14
15,a9,2013-07-04 21:21:24
15,a3,2013-04-28 22:16:53
15,a1,2013-05-26 10:07:28
16,a9,2013-06-15 12:45:38
16,a5,2013-04-18 14:44:15
16,a6,2013-06-09 03:51:30
16,a4,2013-05-13 16:19:24
16,a1,2013-05-20 23:25:59
16,a5,2013-06-29 09:05:19
16,a2,2013-05-03 22:05:36
16,a6,2013-06-11 17:03:17
16,a2,2013-04-22 06:33:36
16,a1,2013-05-20 16:33:22
17,a2,2013-04-21 00:07:18
17,a7,2013-06-27 08:59:10
17,a2,2013-05-05 09:59:45
17,a7,2013-05-07 03:04:35
17,a4,2013-04-30 07:35:13
17,a1,2013-05-19 06:05:15
17,a7,2013-04-22 03:38:12
17,a6,2013-07-01 11:34:32
17,a5,2013-07-10 23:57:21
17,a1,2013-04-17 13:01:01
18,a2,2013-04-20 20:38:24
18,a1,2013-06-19 05:42:18
18,a5,2013-06-15 22:06:43
18,a2,2013-06-07 03:56:04
18,a7,2013-05-27 03:37:05
18,a8,2013-07-16 10:27:40
18,a6,2013-05-04 02:09:23
18,a1,2013-06-11 07:53:59
18,a5,2013-07-09 12:03:31
18,a4,2013-04-21 10:25:28
19,a4,2013-06-18 15:05:39
19,a4,2013-07-02 01:51:41
19,a2,2013-04-24 15:19:12
19,a2,2013-06-13 08:00:15
19,a1,2013-05-29 06:43:07
19,a3,2013-07-12 00:58:52
19,a8,2013-04-21 10:14:31
19,a9,2013-04-17 22:24:03
19,a2,2013-05-09 20:54:39
19,a6,2013-05-15 06:31:52
20,a3,2013-05-18 13:05:39
20,a2,2013-04-16 15:22:42
20,a5,2013-07-14 13:08:43
20,a4,2013-05-01 18:49:59
20,a6,2013-04-30 09:47:59
20,a4,2013-06-08 00:24:10
20,a5,2013-06-20 08:51:17
20,a3,2013-07-11 10:25:59
20,a1,2013-05-26 18:52:07
20,a6,2013-07-03 11:39:13
21,a4,2013-06-27 19:18:57
21,a6,2013-05-04 09:14:31
21,a4,2013-05-07 20:27:10
21,a6,2013-05-08 14:58:18
21,a7,2013-07-07 16:46:03
21,a1,2013-06-17 21:51:57
21,a8,2013-04-18 07:59:43
21,a6,2013-06-10 22:18:32
21,a4,2013-04-28 00:07:48
21,a3,2013-04-20 18:38:47
22,a1,2013-07-11 08:14:17
22,a2,2013-05-05 20:49:59
22,a1,2013-05-16 19:59:03
22,a2,2013-06-17 13:36:22
22,a5,2013-05-24 22:28:12
22,a8,2013-05-25 12:21:06
22,a7,2013-05-24 16:39:44
22,a5,2013-05-29 09:05:11
22,a3,2013-06-20 10:44:46
22,a7,2013-06-26 18:06:55
23,a4,2013-06-10 15:22:41
23,a7,2013-05-14 22:33:48
23,a4,2013-07-06 23:44:01
23,a2,2013-06-05 04:28:13
23,a5,2013-07-15 14:24:10
23,a8,2013-05-03 21:20:27
23,a1,2013-07-06 18:29:22
23,a6,2013-05-01 03:01:20
23,a2,2013-06-03 12:00:34
23,a4,2013-05-05 19:13:06
24,a7,2013-07-05 23:55:06
24,a6,2013-06-20 05:10:28
24,a8,2013-05-06 22:56:58
24,a6,2013-07-13 21:47:20
24,a9,2013-07-08 23:23:14
24,a8,2013-05-15 12:41:11
24,a4,2013-06-02 12:10:43
24,a9,2013-05-01 21:39:13
24,a1,2013-06-12 20:15:29
24,a8,2013-06-11 02:54:54
25,a3,2013-05-19 05:14:24
25,a9,2013-05-22 16:48:03
25,a4,2013-05-05 18:53:37
25,a9,2013-04-18 14:21:43
25,a6,2013-05-16 03:24:32
25,a1,2013-05-13 15:52:07
25,a3,2013-05-04 14:22:41
25,a1,2013-06-07 00:55:59
25,a2,2013-05-30 08:49:43
25,a9,2013-05-19 11:59:54
26,a6,2013-05-20 18:41:22
26,a6,2013-05-12 05:35:44
26,a9,2013-05-23 06:32:40
26,a9,2013-05-23 00:19:25
26,a9,2013-04-30 21:47:14
26,a6,2013-05-25 11:17:50
26,a7,2013-05-05 01:40:09
26,a3,2013-05-18 13:42:32
26,a4,2013-04-19 03:25:16
26,a9,2013-05-12 15:07:45
27,a4,2013-05-05 22:10:44
27,a6,2013-05-28 01:40:00
27,a6,2013-06-26 20:25:04
27,a1,2013-05-15 14:02:04
27,a3,2013-06-10 22:22:05
27,a4,2013-04-23 03:57:44
27,a4,2013-04-16 15:15:18
27,a8,2013-06-22 02:23:01
27,a3,2013-06-12 21:46:31
27,a7,2013-06-04 22:42:29
28,a3,2013-05-05 05:30:57
28,a1,2013-07-13 00:43:46
28,a9,2013-06-24 10:45:03
28,a2,2013-05-03 06:57:18
28,a5,2013-06-05 07:54:06
28,a1,2013-06-01 20:13:47
28,a9,2013-07-01 00:43:10
28,a2,2013-04-28 13:04:11
28,a3,2013-06-24 16:13:17
28,a3,2013-06-03 17:52:36
29,a9,2013-06-17 02:49:54
29,a1,2013-06-17 02:05:43
29,a8,2013-05-07 21:16:36
29,a5,2013-07-12 10:20:17
29,a1,2013-04-29 09:35:08
29,a6,2013-04-20 10:43:06
29,a5,2013-04-20 07:17:50
29,a5,2013-06-10 07:13:05
29,a2,2013-05-01 20:59:52
29,a2,2013-05-05 14:12:11
30,a3,2013-06-08 10:41:38
30,a1,2013-05-17 14:28:25
30,a5,2013-07-16 19:45:38
30,a4,2013-06-12 12:51:25
30,a7,2013-05-07 14:15:50
30,a5,2013-07-10 03:28:44
30,a5,2013-05-13 08:46:42
30,a6,2013-07-16 16:30:09
30,a6,2013-05-06 13:49:35
30,a8,2013-07-08 23:46:16
31,a4,2013-04-24 02:15:54
31,a7,2013-06-03 14:02:54
31,a3,2013-04-20 09:11:04
31,a3,2013-07-13 21:15:15
31,a2,2013-07-10 04:04:39
31,a6,2013-07-09 10:17:12
31,a8,2013-06-24 23:46:44
31,a1,2013-05-28 08:47:42
31,a7,2013-05-21 11:10:58
31,a3,2013-04-26 00:31:00
32,a9,2013-05-08 08:27:04
32,a9,2013-07-12 13:49:10
32,a4,2013-06-26 20:26:51
32,a6,2013-05-21 08:15:05
32,a1,2013-05-01 04:54:16
32,a5,2013-04-19 09:36:56
32,a8,2013-05-30 15:11:03
32,a4,2013-05-19 12:28:44
32,a8,2013-04-17 11:32:48
32,a2,2013-07-06 05:03:44
33,a8,2013-06-29 01:29:45
33,a3,2013-05-28 15:35:45
33,a4,2013-06-02 20:20:16
33,a2,2013-05-09 10:46:55
33,a8,2013-06-01 13:18:29
33,a9,2013-05-10 03:18:22
33,a7,2013-06-30 20:29:39
33,a5,2013-04-20 21:05:32
33,a9,2013-06-09 19:20:18
33,a3,2013-05-15 12:43:32
34,a6,2013-05-12 11:36:57
34,a2,2013-05-14 01:35:43
34,a5,2013-07-04 05:51:23
34,a8,2013-06-08 21:43:38
34,a8,2013-06-19 12:41:21
34,a5,2013-04-25 09:35:40
34,a2,2013-05-12 11:04:46
34,a7,2013-06-21 20:58:49
34,a4,2013-06-04 07:37:34
34,a4,2013-04-19 06:41:23
35,a8,2013-04-24 08:16:04
35,a2,2013-05-08 08:48:53
35,a1,2013-06-27 15:08:14
35,a2,2013-06-19 05:07:41
35,a5,2013-06-17 15:30:25
35,a6,2013-05-05 21:48:16
35,a1,2013-06-28 23:13:42
35,a8,2013-04-25 17:59:11
35,a5,2013-07-11 17:54:42
35,a6,2013-05-11 11:08:36
36,a1,2013-05-01 08:25:01
36,a5,2013-05-28 15:11:19
36,a9,2013-04-23 13:11:46
36,a7,2013-05-04 13:14:38
36,a7,2013-07-16 06:15:54
36,a9,2013-06-12 22:16:35
36,a7,2013-05-25 19:02:59
36,a6,2013-04-24 03:24:27
36,a8,2013-07-09 15:33:46
36,a6,2013-05-06 10:51:22
37,a3,2013-07-08 11:40:22
37,a9,2013-06-13 17:24:48
37,a4,2013-07-03 02:52:42
37,a5,2013-06-10 15:18:00
37,a8,2013-06-16 10:52:49
37,a8,2013-05-26 03:35:55
37,a5,2013-04-30 10:07:48
37,a3,2013-05-20 17:41:25
37,a6,2013-05-01 00:01:48
37,a5,2013-04-22 10:01:57
38,a8,2013-05-18 15:28:37
38,a9,2013-04-17 16:52:56
38,a9,2013-07-01 11:48:27
38,a7,2013-06-19 11:25:41
38,a9,2013-06-24 23:20:59
38,a6,2013-06-04 11:49:32
38,a2,2013-06-28 15:01:01
38,a3,2013-06-06 07:58:58
38,a1,2013-06-06 15:23:42
38,a9,2013-06-13 16:59:32
39,a5,2013-04-30 04:02:46
39,a7,2013-06-20 01:33:26
39,a4,2013-06-27 00:26:57
39,a8,2013-06-20 07:13:08
39,a2,2013-06-08 18:29:17
39,a6,2013-06-13 10:55:33
39,a1,2013-04-19 21:36:55
39,a1,2013-06-13 16:21:53
39,a5,2013-04-27 00:57:30
39,a7,2013-06-28 13:11:21
40,a1,2013-06-22 03:58:32
40,a2,2013-07-13 04:06:37
40,a7,2013-06-23 22:58:59
40,a9,2013-05-07 06:08:36
40,a3,2013-05-16 19:59:11
40,a1,2013-04-23 17:42:36
40,a3,2013-04-28 14:28:31
40,a2,2013-05-07 12:39:12
40,a1,2013-05-09 09:04:27
40,a8,2013-06-13 04:28:56
41,a5,2013-07-11 03:35:17
41,a1,2013-06-17 05:07:20
41,a1,2013-05-19 18:10:10
41,a2,2013-05-27 23:48:20
41,a4,2013-07-14 14:22:44
41,a6,2013-06-24 13:28:17
41,a9,2013-05-20 22:02:00
41,a3,2013-05-27 14:40:40
41,a1,2013-07-10 01:05:26
41,a6,2013-05-25 22:25:31
42,a3,2013-05-15 22:29:54
42,a7,2013-06-07 09:22:54
42,a7,2013-05-04 01:12:50
42,a9,2013-05-03 22:28:49
42,a6,2013-05-23 19:38:15
42,a3,2013-05-29 14:52:39
42,a7,2013-05-07 16:11:32
42,a4,2013-05-29 09:47:29
42,a4,2013-06-30 10:01:19
42,a8,2013-06-24 01:31:00
43,a7,2013-06-06 11:40:05
43,a8,2013-07-11 14:18:51
43,a3,2013-06-20 04:15:12
43,a3,2013-06-22 01:56:39
43,a6,2013-06-29 03:16:50
43,a3,2013-06-23 14:38:54
43,a1,2013-06-26 03:11:19
43,a9,2013-05-25 17:58:31
43,a4,2013-05-20 04:25:59
43,a3,2013-04-23 21:24:25
44,a5,2013-06-29 06:14:26
44,a2,2013-05-18 23:32:03
44,a7,2013-05-07 22:58:39
44,a4,2013-05-19 20:29:33
44,a8,2013-05-25 06:51:53
44,a5,2013-07-08 15:05:29
44,a4,2013-07-04 23:55:34
44,a1,2013-06-04 23:43:48
44,a2,2013-05-26 20:50:23
44,a6,2013-05-24 04:24:26
45,a9,2013-05-29 22:09:14
45,a5,2013-04-21 14:46:14
45,a6,2013-05-21 16:43:05
45,a6,2013-07-09 11:02:29
45,a5,2013-06-27 15:12:02
45,a1,2013-06-21 23:11:10
45,a3,2013-05-31 02:13:44
45,a2,2013-05-09 15:14:07
45,a6,2013-04-25 15:23:03
45,a3,2013-07-09 19:11:16
46,a8,2013-04-16 16:50:46
46,a6,2013-04-21 21:19:04
46,a2,2013-04-28 21:39:02
46,a6,2013-06-08 04:43:34
46,a3,2013-04-21 11:31:18
46,a8,2013-07-12 04:45:55
46,a5,2013-07-03 21:33:16
46,a4,2013-05-29 15:34:25
46,a2,2013-05-01 06:32:24
46,a8,2013-06-12 06:07:00
47,a7,2013-04-30 15:18:24
47,a3,2013-05-15 17:03:05
47,a4,2013-06-12 16:33:25
47,a9,2013-04-28 01:06:35
47,a6,2013-06-22 04:13:29
47,a3,2013-06-15 20:39:02
47,a6,2013-05-14 21:44:30
47,a1,2013-06-28 13:39:40
47,a3,2013-05-05 12:01:12
47,a5,2013-06-11 13:47:28
48,a8,2013-04-20 09:07:20
48,a7,2013-06-27 00:51:57
48,a1,2013-06-15 03:32:01
48,a2,2013-04-30 02:40:05
48,a6,2013-05-13 08:11:16
48,a2,2013-04-18 05:35:10
48,a7,2013-07-14 13:39:37
48,a1,2013-05-06 05:32:41
48,a2,2013-07-13 13:53:39
48,a9,2013-06-16 08:05:49
49,a7,2013-04-26 09:36:59
49,a3,2013-05-02 04:37:32
49,a3,2013-06-12 08:37:09
49,a8,2013-05-15 11:14:46
49,a3,2013-05-22 06:41:16
49,a3,2013-07-08 21:29:25
49,a8,2013-05-11 18:39:00
49,a5,2013-04-21 10:54:46
49,a2,2013-07-04 18:11:09
49,a9,2013-05-20 13:53:44
50,a7,2013-05-20 02:58:00
50,a8,2013-06-07 10:33:11
50,a4,2013-05-23 03:58:54
50,a8,2013-04-17 10:04:08
50,a3,2013-07-02 22:11:11
50,a1,2013-06-30 18:30:29
50,a8,2013-05-23 16:10:58
50,a5,2013-07-04 23:59:07
50,a8,2013-05-02 16:58:58
50,a5,2013-04-17 12:22:08
51,a8,2013-05-03 02:28:38
51,a5,2013-05-28 21:06:44
51,a3,2013-05-30 17:11:03
51,a3,2013-05-09 01:54:41
51,a7,2013-06-04 03:12:05
51,a4,2013-06-05 09:28:39
51,a1,2013-06-29 08:43:44
51,a7,2013-04-28 18:29:03
51,a6,2013-06-19 13:45:58
51,a6,2013-05-26 06:35:54
52,a9,2013-07-10 01:09:57
52,a3,2013-06-15 16:33:13
52,a1,2013-05-30 22:15:19
52,a9,2013-06-24 22:51:06
52,a5,2013-05-14 21:59:36
52,a8,2013-06-13 20:54:57
52,a2,2013-07-09 16:50:32
52,a7,2013-05-28 12:36:59
52,a7,2013-06-02 19:09:24
52,a6,2013-05-22 15:14:29
53,a7,2013-05-06 08:23:29
53,a1,2013-05-26 11:40:57
53,a8,2013-04-26 00:29:29
53,a3,2013-06-18 03:47:56
53,a8,2013-06-23 00:00:59
53,a9,2013-04-27 04:05:27
53,a2,2013-04-30 10:12:32
53,a9,2013-05-07 02:32:03
53,a9,2013-05-23 22:43:21
53,a4,2013-04-25 14:10:37
54,a1,2013-05-03 13:41:59
54,a1,2013-06-14 06:22:30
54,a2,2013-07-08 16:09:41
54,a4,2013-04-25 11:48:27
54,a5,2013-04-26 05:58:51
54,a3,2013-06-25 09:05:26
54,a9,2013-06-23 01:51:51
54,a3,2013-05-02 08:56:47
54,a3,2013-05-16 13:27:32
54,a4,2013-05-21 13:58:47
55,a2,2013-05-16 16:34:03
55,a4,2013-05-27 06:45:43
55,a9,2013-05-18 15:23:47
55,a2,2013-07-11 09:12:32
55,a1,2013-05-04 22:48:53
55,a1,2013-04-29 10:34:36
55,a3,2013-05-25 10:24:05
55,a6,2013-06-11 08:41:45
55,a3,2013-07-06 18:53:34
55,a8,2013-06-05 04:15:31
56,a5,2013-05-17 14:26:19
56,a6,2013-06-05 01:00:50
56,a7,2013-05-25 00:31:40
56,a5,2013-05-16 16:26:56
56,a2,2013-06-15 22:47:59
56,a7,2013-06-25 15:08:52
56,a7,2013-06-18 22:30:50
56,a4,2013-05-20 10:14:26
56,a5,2013-06-23 11:27:17
56,a3,2013-06-11 09:07:51
57,a7,2013-07-13 09:52:12
57,a9,2013-07-05 14:23:57
57,a1,2013-05-10 22:27:23
57,a2,2013-05-26 14:51:22
57,a3,2013-07-07 17:44:51
57,a8,2013-04-19 14:43:17
57,a5,2013-06-16 15:17:41
57,a8,2013-04-24 07:23:01
57,a8,2013-05-02 01:17:20
57,a2,2013-06-12 01:40:26
58,a9,2013-07-06 21:46:31
58,a5,2013-05-13 17:23:53
58,a5,2013-07-16 18:24:55
58,a8,2013-06-15 23:46:24
58,a5,2013-06-14 09:58:57
58,a1,2013-06-12 11:13:52
58,a2,2013-05-26 13:01:59
58,a9,2013-06-11 22:32:17
58,a4,2013-07-17 09:53:52
58,a2,2013-06-02 13:58:46
59,a8,2013-06-06 22:48:25
59,a6,2013-06-16 10:40:24
59,a2,2013-06-25 04:54:00
59,a7,2013-05-07 21:04:19
59,a3,2013-07-09 19:33:58
59,a1,2013-05-28 09:30:08
59,a2,2013-05-23 05:17:50
59,a4,2013-06-22 16:27:08
59,a3,2013-05-15 11:23:44
59,a5,2013-06-03 09:48:28
60,a7,2013-06-23 09:17:34
60,a7,2013-05-16 14:57:15
60,a5,2013-05-09 09:53:26
60,a9,2013-06-06 07:11:03
60,a6,2013-04-22 12:06:51
60,a5,2013-07-12 02:32:30
60,a9,2013-05-08 06:24:12
60,a7,2013-05-14 01:40:34
60,a6,2013-05-08 03:33:02
60,a6,2013-06-03 13:06:36
61,a2,2013-07-12 06:25:36
61,a2,2013-04-23 06:00:42
61,a5,2013-07-11 21:52:07
61,a8,2013-04-26 23:54:32
61,a1,2013-04-27 06:55:19
61,a4,2013-04-17 18:02:16
61,a2,2013-07-13 17:07:41
61,a7,2013-05-28 22:45:21
61,a5,2013-05-24 09:13:32
61,a8,2013-05-10 12:14:27
62,a6,2013-06-06 13:44:47
62,a8,2013-05-05 05:47:03
62,a7,2013-07-16 04:06:57
62,a9,2013-06-14 09:34:15
62,a9,2013-06-16 22:17:55
62,a6,2013-05-06 22:18:02
62,a6,2013-07-05 11:29:20
62,a8,2013-07-11 12:06:34
62,a2,2013-06-06 06:04:24
62,a7,2013-04-29 05:57:17
63,a1,2013-07-05 15:11:32
63,a3,2013-06-03 09:31:09
63,a5,2013-04-24 21:57:06
63,a4,2013-06-27 19:04:07
63,a6,2013-06-01 07:12:57
63,a7,2013-06-15 06:00:45
63,a1,2013-06-04 04:30:43
63,a5,2013-06-21 10:17:56
63,a6,2013-06-08 04:56:31
63,a4,2013-05-29 01:09:41
64,a2,2013-04-21 10:44:42
64,a1,2013-04-25 20:46:39
64,a4,2013-05-08 17:17:30
64,a8,2013-07-10 19:37:00
64,a7,2013-06-30 04:45:57
64,a8,2013-05-19 14:32:09
64,a3,2013-07-07 14:45:39
64,a6,2013-07-10 01:41:04
64,a1,2013-06-02 05:06:42
64,a5,2013-06-23 15:18:12
65,a5,2013-07-03 21:14:39
65,a8,2013-04-19 08:32:57
65,a3,2013-04-27 03:15:09
65,a4,2013-05-23 11:32:17
65,a7,2013-07-10 16:04:40
65,a8,2013-05-23 04:33:54
65,a7,2013-05-27 17:18:59
65,a6,2013-04-29 00:20:48
65,a7,2013-06-02 09:37:03
65,a8,2013-05-01 12:24:20
66,a6,2013-07-14 03:48:00
66,a3,2013-06-19 17:57:29
66,a2,2013-05-13 07:54:46
66,a9,2013-06-29 09:57:07
66,a8,2013-05-01 05:30:00
66,a1,2013-05-08 13:44:37
66,a4,2013-04-20 20:05:43
66,a4,2013-07-09 21:11:58
66,a2,2013-07-12 13:17:05
66,a8,2013-04-19 08:56:09
67,a3,2013-07-03 11:08:01
67,a4,2013-05-18 23:33:20
67,a3,2013-04-18 20:29:31
67,a3,2013-07-05 17:11:33
67,a6,2013-06-26 04:13:25
67,a5,2013-05-22 13:21:59
67,a7,2013-06-11 01:44:54
67,a5,2013-05-11 10:10:01
67,a4,2013-06-01 23:40:41
67,a4,2013-06-12 22:46:56
68,a2,2013-06-15 04:51:26
68,a8,2013-06-23 06:36:40
68,a3,2013-06-17 03:02:01
68,a1,2013-05-09 22:42:34
68,a2,2013-05-11 19:05:17
68,a6,2013-06-15 10:29:04
68,a8,2013-05-15 11:32:36
68,a3,2013-05-12 01:30:40
68,a7,2013-05-13 02:57:25
68,a1,2013-04-20 07:27:46
69,a8,2013-06-20 18:07:08
69,a6,2013-06-01 11:12:58
69,a6,2013-05-29 20:38:16
69,a3,2013-05-02 10:09:18
69,a6,2013-05-25 15:16:55
69,a2,2013-05-26 05:55:07
69,a8,2013-05-01 02:34:22
69,a7,2013-05-25 02:31:29
69,a5,2013-06-07 07:27:43
69,a9,2013-05-17 19:25:15
70,a8,2013-07-03 16:36:02
70,a1,2013-04-25 12:58:00
70,a6,2013-05-18 00:33:10
70,a6,2013-06-14 06:17:38
70,a2,2013-05-25 20:53:29
70,a3,2013-04-27 10:58:18
70,a7,2013-06-07 14:30:10
70,a2,2013-06-16 04:01:32
70,a9,2013-06-07 08:11:39
70,a3,2013-06-26 12:31:25
71,a6,2013-06-15 12:06:06
71,a7,2013-06-19 02:22:13
71,a7,2013-04-30 02:36:13
71,a7,2013-05-19 14:38:29
71,a1,2013-05-11 11:45:25
71,a4,2013-06-17 15:04:42
71,a6,2013-04-23 04:42:15
71,a6,2013-04-17 11:52:44
71,a9,2013-05-06 11:02:40
71,a8,2013-06-10 14:08:04
72,a2,2013-06-17 01:04:23
72,a3,2013-05-17 17:13:17
72,a7,2013-05-09 01:13:03
72,a1,2013-07-08 23:57:23
72,a3,2013-06-03 13:50:05
72,a3,2013-05-07 02:50:07
72,a8,2013-05-04 07:50:23
72,a1,2013-07-09 11:52:14
72,a4,2013-04-26 04:23:39
72,a7,2013-04-18 03:07:18
73,a5,2013-04-26 15:22:43
73,a2,2013-04-21 06:57:06
73,a4,2013-07-06 21:39:11
73,a6,2013-05-11 06:15:53
73,a9,2013-05-08 20:41:00
73,a7,2013-06-20 01:41:44
73,a9,2013-07-03 04:40:46
73,a9,2013-06-06 13:37:16
73,a2,2013-07-01 13:45:33
73,a9,2013-06-17 06:45:46
74,a5,2013-05-22 10:31:36
74,a7,2013-05-06 22:51:55
74,a9,2013-06-12 00:54:30
74,a8,2013-05-27 12:24:58
74,a5,2013-05-23 17:51:35
74,a6,2013-05-13 03:05:57
74,a7,2013-05-13 00:09:39
74,a1,2013-07-01 01:42:24
74,a6,2013-05-05 15:19:50
74,a3,2013-06-01 02:46:41
75,a5,2013-05-22 12:57:38
75,a1,2013-05-23 21:39:41
75,a5,2013-07-11 02:13:00
75,a6,2013-05-31 18:38:40
75,a7,2013-04-18 09:08:56
75,a8,2013-07-06 03:17:45
75,a3,2013-06-11 10:12:45
75,a9,2013-07-14 07:43:30
75,a9,2013-06-24 10:12:10
75,a6,2013-05-19 19:42:08
76,a3,2013-05-24 17:02:56
76,a2,2013-06-10 01:23:58
76,a8,2013-07-11 00:52:07
76,a4,2013-07-16 00:34:36
76,a7,2013-07-05 22:13:41
76,a4,2013-06-09 01:34:45
76,a6,2013-04-21 21:10:49
76,a5,2013-05-29 06:27:03
76,a5,2013-05-17 01:21:06
76,a1,2013-05-27 09:12:07
77,a2,2013-06-14 16:40:51
77,a4,2013-06-17 09:57:38
77,a3,2013-06-04 12:11:10
77,a4,2013-06-04 19:07:38
77,a8,2013-07-14 20:17:54
77,a4,2013-05-28 06:45:47
